epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.409115686416626,0.1,2.3027271270751952,0.1
2,2.312639684677124,0.08,2.3020909309387205,0.1
3,2.302016468048096,0.12,2.2996259212493895,0.1
4,2.287670488357544,0.2,2.297126865386963,0.1
5,2.270635585784912,0.18,2.29316782951355,0.1
6,2.2716441774368286,0.16,2.2836881637573243,0.15
7,2.2096143627166747,0.28,2.2554688930511473,0.25
8,2.218508720397949,0.18,2.200407695770264,0.3
9,2.156938018798828,0.26,2.1302889823913573,0.4
10,2.0697611284255983,0.34,2.0263006925582885,0.4
11,2.0328550148010254,0.32,1.9575002193450928,0.2
12,1.9843957805633545,0.38,2.122549295425415,0.2
13,1.9586904811859132,0.26,2.037237358093262,0.2
14,1.8882750415802,0.4,1.7758713960647583,0.45
15,1.9183700752258301,0.36,1.6954593181610107,0.5
16,1.8042532873153687,0.44,1.677213478088379,0.35
17,1.8288359642028809,0.38,1.7264657497406006,0.3
18,1.7544372940063477,0.38,1.6690244674682617,0.3
19,1.79385235786438,0.34,2.283403491973877,0.2
20,1.7620778274536133,0.46,1.7376084804534913,0.4
21,1.7170067405700684,0.44,1.4005229711532592,0.75
22,1.676364736557007,0.5,1.4434447050094605,0.65
23,1.5671501064300537,0.54,1.4952529191970825,0.55
24,1.5484688520431518,0.54,1.4380393981933595,0.55
25,1.520299367904663,0.58,1.3876411199569703,0.6
26,1.524725456237793,0.58,1.3662376642227172,0.75
27,1.5298205089569092,0.6,1.310607671737671,0.6
28,1.4945519876480102,0.58,1.2610050439834595,0.75
29,1.6317154312133788,0.44,1.288961148262024,0.7
30,1.4793222808837891,0.54,1.555973768234253,0.5
31,1.5482995796203614,0.56,1.3591718196868896,0.7
32,1.4349173831939697,0.6,1.24922456741333,0.7
33,1.4827577114105224,0.58,1.2516819477081298,0.7
34,1.4171471691131592,0.72,1.2836823463439941,0.85
35,1.3881219625473022,0.72,1.3785611152648927,0.65
36,1.3663409042358399,0.66,1.412020707130432,0.55
37,1.3214568996429443,0.68,1.184918427467346,0.95
38,1.2974072742462157,0.72,1.119085419178009,0.9
39,1.3188112592697143,0.7,1.1384663820266723,0.75
40,1.300422477722168,0.66,1.1891805171966552,0.7
41,1.3037487363815308,0.66,1.1189873695373536,0.8
42,1.2685853099823,0.76,1.1296520471572875,0.65
43,1.22190185546875,0.74,1.040461039543152,0.75
44,1.2340243434906006,0.64,1.0430866718292235,0.8
45,1.198951005935669,0.7,1.1476909399032593,0.65
46,1.239080047607422,0.7,1.0928338527679444,0.8
47,1.1608988380432128,0.74,1.0676116466522216,0.8
48,1.1861737585067749,0.72,1.0768277883529662,0.8
49,1.14360493183136,0.76,1.0524848461151124,0.85
50,1.1285784530639649,0.78,1.0628440380096436,0.9
51,1.2324599313735962,0.76,1.0437459468841552,0.8
52,1.1343418455123901,0.76,1.029599905014038,0.85
53,1.101762318611145,0.78,1.151516842842102,0.8
54,1.1670088386535644,0.76,1.1029568672180177,0.8
55,1.1017015981674194,0.78,0.9806677103042603,0.85
56,1.1209137678146361,0.7,1.0749375104904175,0.85
57,1.0876235723495484,0.78,1.140777063369751,0.75
